ev_year,cf_<blank>,cf_C,cf_F,inpc_F,inpc_T,rows,mixed_role_events
2008,862,2949,1209,794,4226,5020,743
2009,870,3247,517,836,3798,4634,344
2010,758,3042,392,741,3451,4192,269
2011,786,3228,452,760,3706,4466,301
2012,669,3272,553,652,3842,4494,331
2013,590,2866,472,565,3363,3928,270
2014,804,3096,463,774,3589,4363,270
2015,696,3129,437,662,3600,4262,246
2016,917,3254,407,846,3732,4578,223
2017,1001,3232,313,840,3706,4546,170
2018,1106,3042,301,743,3706,4449,175
2019,1603,2419,170,378,3814,4192,114
2020,2192,988,72,378,2874,3252,50
2021,3448,0,0,618,2830,3448,0
2022,3500,0,0,542,2958,3500,0
2023,3453,0,0,520,2933,3453,0
2024,2960,0,0,401,2559,2960,0
2025,2125,0,0,230,1895,2125,0
2026,519,0,0,60,459,519,0
